lever,target,spearman
adoption_end,final_employment_drop_pct,0.566185883726308
demand_multiplier,final_employment_drop_pct,0.34926062086792176
cognitive_feasibility,final_employment_drop_pct,0.27585877932203356
consumption_stickiness,final_employment_drop_pct,0.23791351055664006
mpc,final_employment_drop_pct,0.2200844982408209
physical_feasibility,final_employment_drop_pct,0.18305987336942534
survivor_elasticity,final_employment_drop_pct,-0.07814503086817501
cg_realization_rate,final_employment_drop_pct,-0.058013941416495525
survivor_gains_share,final_employment_drop_pct,-0.05344763402090152
equity_taxable_share,final_employment_drop_pct,-0.0512589348341209
ssdi_annual,final_employment_drop_pct,-0.04318626066713788
baseline_growth_rate,final_employment_drop_pct,-0.03930976169029918
attrition_rate,final_employment_drop_pct,0.03596316835530244
reabsorption_rate,final_employment_drop_pct,-0.03100935615488719
retained_profit_share,final_employment_drop_pct,0.0307140921371907
state_rate_hike_cap,final_employment_drop_pct,-0.02844671637831084
price_passthrough,final_employment_drop_pct,-0.026200769741698837
shareholder_eff_rate,final_employment_drop_pct,0.025795960765960628
compute_effective_rate,final_employment_drop_pct,0.023536731785998764
robotics_lag,final_employment_drop_pct,0.018504820506673392
price_reduction_share,final_employment_drop_pct,-0.017681707089360656
productivity_passthrough,final_employment_drop_pct,-0.015565518517639907
reemployment_haircut,final_employment_drop_pct,0.0151726023063999
state_cut_share,final_employment_drop_pct,0.0151491107084566
equity_pe_multiple,final_employment_drop_pct,0.014845589913139421
survivor_spillover_to_profit,final_employment_drop_pct,-0.009638402575995941
lfp_exit_rate,final_employment_drop_pct,0.009302294665006755
survivor_raise_ceiling,final_employment_drop_pct,-0.008874894705703523
interest_rate,final_employment_drop_pct,-0.006899929873169118
ubi_recapture_rate,final_employment_drop_pct,-0.003994142268631401
ui_weeks,final_employment_drop_pct,-0.002300864094411375
auto_cost,final_employment_drop_pct,-0.0019141836743790863
lfp_exit_rate,final_fed_deficit_B,0.48976206976206976
ssdi_annual,final_fed_deficit_B,0.44297983097983096
demand_multiplier,final_fed_deficit_B,0.2791879471879472
auto_cost,final_fed_deficit_B,0.26656428256428255
retained_profit_share,final_fed_deficit_B,-0.22114506514506516
price_reduction_share,final_fed_deficit_B,0.22044008844008844
mpc,final_fed_deficit_B,0.17597372736491593
attrition_rate,final_fed_deficit_B,-0.153005685005685
consumption_stickiness,final_fed_deficit_B,0.14224332901024964
reabsorption_rate,final_fed_deficit_B,-0.10613308613308613
survivor_gains_share,final_fed_deficit_B,0.10115188115188115
cognitive_feasibility,final_fed_deficit_B,-0.09820196195748637
reemployment_haircut,final_fed_deficit_B,0.09281384081384081
compute_effective_rate,final_fed_deficit_B,-0.08447666447666448
shareholder_eff_rate,final_fed_deficit_B,-0.06621871821871822
productivity_passthrough,final_fed_deficit_B,-0.06383267755785814
survivor_elasticity,final_fed_deficit_B,-0.05792266592266592
equity_pe_multiple,final_fed_deficit_B,-0.03487317487317487
equity_taxable_share,final_fed_deficit_B,-0.02865172065172065
survivor_spillover_to_profit,final_fed_deficit_B,-0.027798447798447798
survivor_raise_ceiling,final_fed_deficit_B,0.026947334947334946
baseline_growth_rate,final_fed_deficit_B,-0.02433315023246609
price_passthrough,final_fed_deficit_B,-0.02404044004044004
interest_rate,final_fed_deficit_B,-0.02100939300939301
cg_realization_rate,final_fed_deficit_B,0.02027954027954028
state_cut_share,final_fed_deficit_B,-0.01195052395052395
state_rate_hike_cap,final_fed_deficit_B,0.005995121995121995
physical_feasibility,final_fed_deficit_B,0.005414509526805296
robotics_lag,final_fed_deficit_B,0.0043357243357243355
ubi_recapture_rate,final_fed_deficit_B,0.0036576996576996577
ui_weeks,final_fed_deficit_B,-0.002420005214011435
adoption_end,final_fed_deficit_B,-0.0005865104201242716
